log message,log key,parameter value vector,RMSE
Feb 15 01:11:14.859 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:14.858 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:14.858 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[2,[0.2442926]
Feb 15 01:11:14.857 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:14.856 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:14.855 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:14.854 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:11.852 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:11.852 www.wikipedia.org IN A + (127.0.0.1),E0,[5,[0.77551806]
Feb 15 01:11:11.851 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:11.850 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:11.847 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:11.846 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:11.845 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:11.845 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:08.856 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:08.856 www.wikipedia.org IN A + (127.0.0.1),E0,[3,[0.38543364]
Feb 15 01:11:08.855 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:08.855 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:08.853 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:08.853 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:08.852 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:08.852 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:06.360 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:05.856 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:05.856 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:05.855 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:05.854 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:05.853 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:05.852 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:05.851 67b.org IN A + (127.0.0.1),E0,[1,[0.1313572]
Feb 15 01:11:03.356 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:02.852 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:02.852 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:02.851 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:02.850 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:02.849 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:02.848 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:02.847 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:11:00.402 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:59.899 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:59.898 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:59.897 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:59.853 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:59.852 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:59.850 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:59.849 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:56.814 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:56.813 hostname.bind IN A + (127.0.0.1),E0,[3,[0.38543364]
Feb 15 01:10:56.812 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:56.811 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:56.811 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:56.810 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:56.810 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:56.809 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:54.354 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:54.353 hostname.bind IN A + (127.0.0.1),E0,[3,[0.38543364]
Feb 15 01:10:53.850 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:53.849 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:53.848 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:53.848 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:53.847 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:53.846 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:51.352 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:51.351 hostname.bind IN A + (127.0.0.1),E0,[3,[0.38543364]
Feb 15 01:10:50.847 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:50.846 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:50.845 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:50.845 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:50.844 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:50.844 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:47.848 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:47.847 hostname.bind IN A + (127.0.0.1),E0,[3,[0.38543364]
Feb 15 01:10:47.846 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:47.845 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:47.845 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:47.844 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:47.844 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:47.843 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.862 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.860 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.858 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.857 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.855 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.854 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.852 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:44.842 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.856 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.854 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.852 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.851 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.849 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.848 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.846 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:41.842 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.846 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.844 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.843 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.843 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.842 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.841 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.840 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:38.838 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.808 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.807 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.806 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.806 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.805 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.805 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.804 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:35.803 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.841 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.838 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.838 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.837 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.837 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.837 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.836 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:32.835 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.842 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.841 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.840 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.840 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.839 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.838 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.838 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:29.836 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:26.857 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:26.855 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:26.852 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:26.851 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:26.838 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:26.837 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:26.836 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[1,[0.13135718]
Feb 15 01:10:26.833 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:23.836 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:23.835 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:23.834 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:23.833 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:23.833 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:23.832 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:23.832 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[1,[0.13135718]
Feb 15 01:10:23.830 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.816 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.815 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.814 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.805 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.805 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.804 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.803 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:20.802 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:17.833 id.server IN A + (127.0.0.1),E0,[2,[0.2442926]
Feb 15 01:10:17.833 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:17.832 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:17.831 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:17.830 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:17.830 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:17.830 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:17.829 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:14.837 id.server IN A + (127.0.0.1),E0,[3,[0.38543364]
Feb 15 01:10:14.837 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:14.835 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:14.834 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:14.833 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:14.832 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:14.832 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:14.829 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:11.829 id.server IN A + (127.0.0.1),E0,[3,[0.38543364]
Feb 15 01:10:11.828 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:11.827 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:11.826 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:11.826 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:11.825 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:11.825 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:11.825 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:09.391 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:08.884 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:08.882 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:08.878 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:08.876 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:08.874 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:08.873 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:08.870 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:06.344 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:05.836 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:05.829 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:05.825 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:05.825 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:05.824 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:05.823 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:05.822 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:03.329 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:02.825 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:02.825 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:02.824 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:02.824 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:02.822 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:02.822 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:02.821 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:10:00.329 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:59.826 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:59.825 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:59.824 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:59.823 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:59.821 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:59.821 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:59.819 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:57.358 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:56.854 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:56.854 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:56.853 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:56.852 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:56.846 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:56.846 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:56.844 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:54.325 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:53.821 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:53.820 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:53.819 hostname.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:53.819 67b.org IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:53.816 version.bind IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:53.816 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:53.815 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:51.323 direct.shodan.io IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:50.819 id.server IN A + (127.0.0.1),E0,[0,[0.04023151]
Feb 15 01:09:50.819 www.wikipedia.org IN A + (127.0.0.1),E0,[0,[0.04023151]
