log message,log key,parameter value vector
"Jul 18 03:48:01 [origin software=""rsyslogd"" swVersion=""8.1911.0-6.el8"" x-pid=""922"" x-info=""https://www.rsyslog.com""] rsyslogd was HUPed",E501,[0]
Jul 18 03:51:08 <info>  [1626580268.8422] dhcp4 (eth0): option dhcp_lease_time      => '3600',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8422] dhcp4 (eth0): option domain_name          => 'ap-southeast-1.compute.internal',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8422] dhcp4 (eth0): option domain_name_servers  => '172.31.0.2',E503,[-114
Jul 18 03:51:08 <info>  [1626580268.8422] dhcp4 (eth0): option expiry               => '1626583868',E503,[-10
Jul 18 03:51:08 <info>  [1626580268.8423] dhcp4 (eth0): option host_name            => 'ip-172-31-17-0',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8423] dhcp4 (eth0): option interface_mtu        => '9001',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8423] dhcp4 (eth0): option ip_address           => '172.31.17.0',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8423] dhcp4 (eth0): option requested_broadcast_address => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8423] dhcp4 (eth0): option requested_domain_name => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8423] dhcp4 (eth0): option requested_domain_name_servers => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8423] dhcp4 (eth0): option requested_domain_search => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_host_name  => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_interface_mtu => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_ms_classless_static_routes => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_nis_domain => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_nis_servers => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_ntp_servers => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_rfc3442_classless_static_routes => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_root_path  => '1',E503,[-827
Jul 18 03:51:08 <info>  [1626580268.8424] dhcp4 (eth0): option requested_routers    => '1',E503,[-11
Jul 18 03:51:08 <info>  [1626580268.8425] dhcp4 (eth0): option requested_static_routes => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8425] dhcp4 (eth0): option requested_subnet_mask => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8425] dhcp4 (eth0): option requested_time_offset => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8425] dhcp4 (eth0): option requested_wpad       => '1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8425] dhcp4 (eth0): option routers              => '172.31.16.1',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8425] dhcp4 (eth0): option subnet_mask          => '255.255.240.0',E503,[0
Jul 18 03:51:08 <info>  [1626580268.8425] dhcp4 (eth0): state changed extended -> extended,E488,[0
"Jul 18 03:51:08 [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service' requested by ':1.12' (uid=0 pid=819 comm=""/usr/sbin/NetworkManager --no-daemon "")",E497,[0
Jul 18 03:51:08 Starting Network Manager Script Dispatcher Service...,E93,[0]
Jul 18 03:51:08 [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E115,[0
Jul 18 03:51:08 Started Network Manager Script Dispatcher Service.,E47,[0]
Jul 18 03:51:19 NetworkManager-dispatcher.service: Succeeded.,E357,[0]
Jul 18 04:02:43 Starting dnf makecache...,E104,[0]
Jul 18 04:02:44 Metadata cache refreshed recently.,E524,[0]
Jul 18 04:02:44 dnf-makecache.service: Succeeded.,E257,[0]
Jul 18 04:02:44 Started dnf makecache.,E341,[0]
Jul 18 04:21:08 <info>  [1626582068.8429] dhcp4 (eth0): option dhcp_lease_time      => '3600',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8430] dhcp4 (eth0): option domain_name          => 'ap-southeast-1.compute.internal',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8430] dhcp4 (eth0): option domain_name_servers  => '172.31.0.2',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8430] dhcp4 (eth0): option expiry               => '1626585668',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8430] dhcp4 (eth0): option host_name            => 'ip-172-31-17-0',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option interface_mtu        => '9001',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option ip_address           => '172.31.17.0',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_broadcast_address => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_domain_name => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_domain_name_servers => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_domain_search => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_host_name  => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_interface_mtu => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_ms_classless_static_routes => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8431] dhcp4 (eth0): option requested_nis_domain => '1',E503,[-238
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_nis_servers => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_ntp_servers => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_rfc3442_classless_static_routes => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_root_path  => '1',E503,[-1551
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_routers    => '1',E503,[-11
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_static_routes => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_subnet_mask => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8432] dhcp4 (eth0): option requested_time_offset => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8433] dhcp4 (eth0): option requested_wpad       => '1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8433] dhcp4 (eth0): option routers              => '172.31.16.1',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8433] dhcp4 (eth0): option subnet_mask          => '255.255.240.0',E503,[0
Jul 18 04:21:08 <info>  [1626582068.8433] dhcp4 (eth0): state changed extended -> extended,E488,[0
"Jul 18 04:21:08 [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service' requested by ':1.12' (uid=0 pid=819 comm=""/usr/sbin/NetworkManager --no-daemon "")",E497,[0
Jul 18 04:21:08 Starting Network Manager Script Dispatcher Service...,E93,[0]
Jul 18 04:21:08 [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E115,[0
Jul 18 04:21:08 Started Network Manager Script Dispatcher Service.,E47,[0]
Jul 18 04:21:19 NetworkManager-dispatcher.service: Succeeded.,E357,[0]
Jul 18 04:51:08 <info>  [1626583868.8426] dhcp4 (eth0): option dhcp_lease_time      => '3600',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option domain_name          => 'ap-southeast-1.compute.internal',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option domain_name_servers  => '172.31.0.2',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option expiry               => '1626587468',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option host_name            => 'ip-172-31-17-0',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option interface_mtu        => '9001',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option ip_address           => '172.31.17.0',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option requested_broadcast_address => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8427] dhcp4 (eth0): option requested_domain_name => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_domain_name_servers => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_domain_search => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_host_name  => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_interface_mtu => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_ms_classless_static_routes => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_nis_domain => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_nis_servers => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_ntp_servers => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8428] dhcp4 (eth0): option requested_rfc3442_classless_static_routes => '1',E503,[0
Jul 18 04:51:08 <info>  [1626583868.8429] dhcp4 (eth0): option requested_root_path  => '1',E503,[-1789
