LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,ParameterList
1,Jul,18,03:48:01,elk-anis-test,rsyslogd,922,"[origin software=""rsyslogd"" swVersion=""8.1911.0-6.el8"" x-pid=""922"" x-info=""https://www.rsyslog.com""] rsyslogd was HUPed",64bd3b91,"[origin software=""rsyslogd"" swVersion=""8.1911.0-6.el8"" x-pid=""922"" x-info=""https://www.rsyslog.com""] rsyslogd was HUPed",[]
2,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8422] dhcp4 (eth0): option dhcp_lease_time      => '3600',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8422]', 'dhcp_lease_time', ""=> '3600'""]"
3,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8422] dhcp4 (eth0): option domain_name          => 'ap-southeast-1.compute.internal',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8422]', 'domain_name', ""=> 'ap-southeast-1.compute.internal'""]"
4,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8422] dhcp4 (eth0): option domain_name_servers  => '172.31.0.2',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8422]', 'domain_name_servers', ""=> '172.31.0.2'""]"
5,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8422] dhcp4 (eth0): option expiry               => '1626583868',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8422]', 'expiry', ""=> '1626583868'""]"
6,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8423] dhcp4 (eth0): option host_name            => 'ip-172-31-17-0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8423]', 'host_name', ""=> 'ip-172-31-17-0'""]"
7,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8423] dhcp4 (eth0): option interface_mtu        => '9001',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8423]', 'interface_mtu', ""=> '9001'""]"
8,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8423] dhcp4 (eth0): option ip_address           => '172.31.17.0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8423]', 'ip_address', ""=> '172.31.17.0'""]"
9,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8423] dhcp4 (eth0): option requested_broadcast_address => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8423]', 'requested_broadcast_address', ""=> '1'""]"
10,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8423] dhcp4 (eth0): option requested_domain_name => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8423]', 'requested_domain_name', ""=> '1'""]"
11,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8423] dhcp4 (eth0): option requested_domain_name_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8423]', 'requested_domain_name_servers', ""=> '1'""]"
12,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8423] dhcp4 (eth0): option requested_domain_search => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8423]', 'requested_domain_search', ""=> '1'""]"
13,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_host_name  => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_host_name', ""=> '1'""]"
14,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_interface_mtu => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_interface_mtu', ""=> '1'""]"
15,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_ms_classless_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_ms_classless_static_routes', ""=> '1'""]"
16,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_nis_domain => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_nis_domain', ""=> '1'""]"
17,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_nis_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_nis_servers', ""=> '1'""]"
18,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_ntp_servers => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_ntp_servers', ""=> '1'""]"
19,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_rfc3442_classless_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_rfc3442_classless_static_routes', ""=> '1'""]"
20,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_root_path  => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_root_path', ""=> '1'""]"
21,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8424] dhcp4 (eth0): option requested_routers    => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8424]', 'requested_routers', ""=> '1'""]"
22,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8425] dhcp4 (eth0): option requested_static_routes => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8425]', 'requested_static_routes', ""=> '1'""]"
23,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8425] dhcp4 (eth0): option requested_subnet_mask => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8425]', 'requested_subnet_mask', ""=> '1'""]"
24,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8425] dhcp4 (eth0): option requested_time_offset => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8425]', 'requested_time_offset', ""=> '1'""]"
25,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8425] dhcp4 (eth0): option requested_wpad       => '1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8425]', 'requested_wpad', ""=> '1'""]"
26,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8425] dhcp4 (eth0): option routers              => '172.31.16.1',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8425]', 'routers', ""=> '172.31.16.1'""]"
27,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8425] dhcp4 (eth0): option subnet_mask          => '255.255.240.0',ae50616a,<info> <*> dhcp4 (eth0): option <*> => <*>,"['<info>', '[1626580268.8425]', 'subnet_mask', ""=> '255.255.240.0'""]"
28,Jul,18,03:51:08,elk-anis-test,NetworkManager,819,<info>  [1626580268.8425] dhcp4 (eth0): state changed extended -> extended,c592d122,<info> <*> dhcp4 (eth0): state changed <*> -> <*>,"['<info>', '[1626580268.8425]', 'extended', '-> extended']"
29,Jul,18,03:51:08,elk-anis-test,dbus-daemon,730,"[system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service' requested by ':1.12' (uid=0 pid=819 comm=""/usr/sbin/NetworkManager --no-daemon "")",9637bfe5,"[system] Activating via systemd: service <*> <*> requested by <*> (uid=0 <*> comm=""/usr/sbin/NetworkManager --no-daemon "")","[""name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service'"", ""':1.12'"", 'pid=819']"
30,Jul,18,03:51:08,elk-anis-test,systemd,1,Starting Network Manager Script Dispatcher Service...,cf670cc6,Starting Network Manager Script Dispatcher Service...,[]
31,Jul,18,03:51:08,elk-anis-test,dbus-daemon,730,[system] Successfully activated service 'org.freedesktop.nm_dispatcher',de230850,[system] Successfully activated service <*>,"[""'org.freedesktop.nm_dispatcher'""]"
32,Jul,18,03:51:08,elk-anis-test,systemd,1,Started Network Manager Script Dispatcher Service.,16a3ed3f,Started Network Manager Script Dispatcher Service.,[]
33,Jul,18,03:51:19,elk-anis-test,systemd,1,NetworkManager-dispatcher.service: Succeeded.,1dad2c1c,NetworkManager-dispatcher.service: Succeeded.,[]
34,Jul,18,04:02:43,elk-anis-test,systemd,1,Starting dnf makecache...,e74be86b,Starting dnf makecache...,[]
35,Jul,18,04:02:44,elk-anis-test,dnf,1592,Metadata cache refreshed recently.,b0dd5a92,Metadata cache refreshed recently.,[]
